'NOFACTURA','FECHA','NOVENTA','RFCCLIENTE'
18004,25/09/14,33726,'MAGI000111M40'
18005,28/02/15,505876,'GUGP880421G45'
18006,19/07/10,183827,'ALRJ810818A49'
18007,25/07/10,233482,'GOLS590711L42'
18008,09/01/17,537528,'DECS440714C39'
18009,01/09/13,127076,'LUMA630327L37'
18010,16/10/10,92008,'COBA690703C17'
18011,16/01/16,106092,'DIAE820628A24'
18012,13/08/16,203339,'DEFC760905D14'
18013,01/04/16,11252,'PRSJ540618S41'
18014,15/01/15,230669,'CASH060724C26'
18015,20/11/12,202893,'GAAS480128A6'
18016,02/05/14,197856,'BLSM590121S52'
18017,18/08/14,487488,'GUJJ650808J42'
18018,27/05/13,473842,'JUSE570817S57'
18019,01/01/12,148856,'MAAJ660628A51'
18020,24/11/11,506552,'ESCJ821227C59'
18021,13/05/10,293219,'SOMM010127SOM'
18022,12/01/14,289299,'GUGM410715G44'
18023,28/02/15,79313,'PAVM770929P31'
18024,14/03/13,278492,'BOBR690528B9'
18025,20/08/11,67364,'ALCA880625A41'
18026,20/07/16,536623,'BAGJ460830G54'
18027,25/12/14,541761,'DEPM660529P42'
18028,23/02/16,449436,'LLER550329E12'
18029,13/06/14,201584,'BOLA060107BOL'
18030,10/03/13,67763,'SOMJ940412S42'
18031,10/01/16,378156,'SARE641202S22'
18032,26/05/12,332451,'MODM711209D36'
18033,04/02/10,556327,'VADH850905V23'
18034,04/08/10,139098,'FUSH431127S43'
18035,29/01/11,105797,'DOCL791002DOC'
18036,22/01/14,194960,'GADA690530G42'
18037,01/02/12,224983,'SEC810315QXO'
18038,08/05/11,391013,'RABS710308R1'
18039,04/01/13,157465,'GORG860409R16'
18040,23/04/12,60892,'BAME830912M30'
18041,25/01/16,499965,'ALHA030724ALH'
18042,15/08/13,162432,'CAFM810820C50'
18043,03/10/11,254890,'PRHN670526H10'
18044,27/06/12,306223,'MANL020213M34'
18045,27/05/16,482541,'OLSA911215O7'
18046,16/01/14,82138,'SODU940813S19'
18047,14/04/17,387133,'DECT870913DEC'
18048,27/05/14,230269,'GOFO831208F42'
18049,29/10/14,291337,'ASGN031116ASG'
18050,12/02/16,271997,'SARE610321R13'
18051,12/05/10,385525,'CAMM750328M19'
18052,26/12/12,80768,'SAUM870728S34'
18053,23/07/11,465194,'FLSI980717F1'
18054,24/01/12,315813,'DISA760427DIS'
18055,09/11/10,230215,'VECM780612V41'
18056,03/02/12,257361,'BAFF831128B54'
18057,24/06/16,299564,'CONA771017C14'
18058,03/10/12,209590,'GUEI881207G58'
18059,06/09/13,109949,'SOMA040305S5'
18060,05/04/15,229665,'MAVL020104M17'
18061,04/06/14,375764,'PRAI680803A45'
18062,18/12/16,157329,'PRVM820324P48'
18063,16/12/15,66796,'SORP990805SOR'
18064,19/12/16,522527,'GADL601203D29'
18065,23/06/13,430185,'LOVO790511V37'
18066,15/11/13,185369,'SAPM640824S23'
18067,31/05/15,60354,'MABG671016B40'
18068,16/04/11,352512,'COSG900829S37'
18069,24/02/13,301343,'FLHF930910F31'
18070,19/10/14,329608,'GIMJ090812G16'
18071,27/01/15,343580,'YESH870421S43'
18072,27/09/11,461895,'ALGI911011A16'
18073,30/04/14,133736,'SAJL571229J25'
18074,06/03/14,164451,'SICA620515SIC'
18075,14/06/10,232627,'HEBA760514B12'
18076,23/07/12,298496,'GAJL970517G31'
18077,28/09/14,275833,'PAAA060801P23'
18078,11/04/12,189644,'PACF650614C14'
18079,16/06/15,231546,'VEVL030809V0'
18080,19/02/10,489596,'ALAR910912A31'
18081,24/01/11,39310,'NAPA680324P40'
18082,12/11/11,384129,'SAAA400309A16'
18083,13/09/13,358513,'ANCJ740510C29'
18084,26/10/12,533457,'SARH990713SAR'
18085,30/06/10,400954,'HECB670802C15'
18086,20/06/11,296424,'ASBG510610B54'
18087,19/12/14,452128,'COAC641122COA'
18088,28/12/12,525307,'OLLA530428L3'
18089,17/07/14,390005,'PIVJ100927P16'
18090,30/03/10,323355,'VAVA920606V38'
18091,24/02/12,557119,'COGP890620C36'
18092,04/07/12,161497,'MACA621111C32'
18093,10/04/15,210793,'MASA860810M4'
18094,22/08/10,328541,'SOJM470430J18'
18095,06/06/12,239482,'CAVA080925C57'
18096,11/05/15,511242,'SACN550913C56'
18097,28/08/13,44836,'NENA650629N4'
18098,30/04/16,503523,'VAPF730624V25'
18099,25/02/15,250266,'JIOC661221J38'
18100,28/04/12,38860,'RECT680629C1'
18101,29/06/12,338865,'IZSA630202S34'
18102,05/04/11,520318,'GUNA891025N30'
18103,01/06/14,165232,'RUGC510117G38'
18104,18/03/15,347987,'ALSM621204S31'
18105,16/08/15,171531,'PAR631005PAR'
18106,22/11/15,124391,'COBI570608B1'
18107,12/02/14,399232,'DEAA630227A11'
18108,05/05/10,51008,'HIRR000312H46'
18109,11/11/12,313613,'CAAG881130A41'
18110,21/02/16,515723,'MOSV991209M55'
18111,25/03/12,253474,'FENJ470223N32'
18112,08/04/11,391989,'NEFG731222N4'
18113,16/03/11,168668,'GAAE840622G43'
18114,30/06/14,53258,'CAHV981118C31'
18115,01/05/10,131688,'ESMC660822ESM'
18116,24/06/14,475734,'AGCI641004A58'
18117,17/07/14,311032,'RAMA760715M19'
18118,30/05/16,279843,'IGPP990604I33'
18119,09/04/15,88647,'JOFL780805F31'
18120,15/06/10,275183,'BUNI060905B25'
18121,09/08/16,300605,'VIRG060923V16'
18122,15/07/15,240623,'SUSJ990817S58'
18123,26/12/10,343145,'MARU730724MAR'
18124,30/01/10,44176,'OCJI600517J40'
18125,10/07/11,23069,'BODD731019D18'
18126,28/01/16,552047,'REMR040818REM'
18127,08/02/11,536523,'DEJM741112D27'
18128,02/05/13,37749,'VEPE740701V26'
18129,04/01/15,175225,'CAMM540503M38'
18130,12/03/11,269361,'SOVG791229S3'
18131,23/09/11,216346,'MAOL480825O31'
18132,02/06/15,516631,'BLMJ650902M5'
18133,13/03/10,423880,'VEPA660321V37'
18134,07/05/11,380055,'GULA420608L39'
18135,04/12/11,467135,'CAMC660608M54'
18136,03/05/14,285086,'LEHA890728L10'
18137,28/08/15,289226,'MAAE701118MAA'
18138,17/04/10,3918,'VICE730331V29'
18139,28/08/11,394598,'VIPI801229V29'
18140,25/12/13,12986,'DELC660821L58'
18141,29/12/10,33253,'MASA421103S5'
18142,03/03/11,263506,'SAVM590918V45'
18143,04/01/13,361964,'DOME430610M49'
18144,25/10/10,544525,'GAGY461026G25'
18145,24/12/15,102348,'PICV791101C32'
18146,20/11/14,303057,'NASC080530NAS'
18147,13/05/17,418585,'MACS690417C4'
18148,23/09/11,223614,'HEGM680817G50'
18149,25/05/11,309286,'ROHC670214R43'
18150,18/10/14,153048,'ALDC630513A8'
18151,03/04/14,105250,'RASM690507R7'
18152,30/12/13,248905,'GUGH680715G52'
18153,28/09/10,48628,'ESLE830807E33'
18154,04/04/15,128330,'MANM660211N46'
18155,11/06/14,222792,'VECC631031V18'
18156,06/04/17,485232,'ROAA630203A42'
18157,02/03/16,394239,'PEHG650604H25'
18158,15/11/16,96647,'PISN051004P16'
18159,17/11/13,264949,'GONR090710G18'
18160,07/11/11,23555,'ULVM040613U10'
18161,12/11/12,386710,'SAGM980307SAG'
18162,26/06/12,547982,'THE810529PSO'
18163,05/07/11,498589,'BOLA670806B39'
18164,10/01/16,10325,'GUSA710304G4'
18165,21/11/10,436723,'DORA811103D19'
18166,10/05/11,101447,'VIFN850811V33'
18167,17/09/16,474808,'BLSN630505S44'
18168,11/06/15,179227,'ANVP940206A16'
18169,22/12/12,244917,'VIDM820512V28'
18170,22/10/15,351163,'HEVL811120V11'
18171,01/04/16,431380,'SAFI660218F56'
18172,02/02/14,235223,'MAAI691025MAA'
18173,17/11/12,127654,'GAMS100712G15'
18174,15/11/12,346976,'GOLI681007G44'
18175,05/09/11,517811,'DEMJ810730DEM'
18176,24/03/13,96293,'SOVL521222V45'
18177,07/10/12,232745,'LOCL890609LOC'
18178,05/05/10,113260,'OROP680508O10'
18179,30/12/12,176627,'AGGR970813AGG'
18180,21/07/14,235757,'VIBG880629VIB'
18181,17/05/14,539469,'GADJ850101D39'
18182,09/02/11,169225,'VADM650216D14'
18183,11/03/13,299827,'LODM870408D24'
18184,25/10/15,424655,'RUPI550620P12'
18185,07/07/10,379540,'YEBM850212Y3'
18186,11/04/15,155400,'GUDF911009G48'
18187,07/11/15,375242,'LECM011009L12'
18188,07/06/12,309600,'FERL700203F33'
18189,08/07/13,318132,'MAAE651014A44'
18190,25/02/10,528275,'GUPJ460913P36'
18191,04/05/12,339841,'ALCF010607A28'
18192,22/07/12,188324,'MABO581208B29'
18193,18/12/13,93005,'ALMJ540220M3'
18194,12/11/14,8330,'HINM441126N17'
18195,12/10/12,431945,'VAMA860422V59'
18196,14/04/16,331755,'ALCL610926C54'
18197,17/07/10,373304,'LUMJ690426M40'
18198,02/11/15,68275,'JUCV610213J47'
18199,20/03/10,104654,'COVE680703V36'
18200,10/10/10,424182,'IZOA680421I51'
18201,12/01/16,281452,'LULE841229L25'
18202,16/08/15,507311,'ROGF490304G47'
18203,21/02/11,308802,'SACE680413S20'
18204,13/03/15,544628,'HEMI601229H23'
18205,31/10/14,40755,'VAUM530823U8'
18206,08/11/11,435104,'GURH500919R0'
18207,13/07/13,96296,'MEBS981113M58'
18208,20/03/14,66358,'PRNR511012N54'
18209,22/02/16,134786,'ORDC551120D1'
18210,13/03/13,477503,'ARDA791018D50'
18211,30/11/12,340452,'OLBJ701105O23'
18212,04/10/11,51550,'ROAG860108A43'
18213,09/12/12,52833,'CEN040920MNL'
18214,01/08/16,196326,'HIPA690922P29'
18215,30/07/12,105138,'FEGO610217G49'
18216,16/12/10,305125,'GOGM631020G46'
18217,11/04/12,108315,'GAZL690323Z11'
18218,28/11/14,80842,'ROIE000925R52'
18219,19/10/11,524740,'VIMR690223V39'
18220,29/07/13,163996,'RUMA720917M10'
18221,25/12/14,392329,'GUCE830103C40'
18222,05/04/11,359719,'CAOE780122C20'
18223,21/08/12,137040,'MOAC700909M12'
18224,02/12/10,81876,'GOGM660808G5'
18225,11/09/10,286528,'NEFM740129NEF'
18226,08/10/10,526669,'MOFI750915M19'
18227,22/11/12,353665,'LECI481019C54'
18228,05/12/15,498338,'HEMJ520518M36'
18229,12/04/14,473340,'CAEL851011C25'
18230,24/06/11,518517,'BAVI660820V38'
18231,04/05/11,402393,'ZUGE060723Z56'
18232,19/10/11,530170,'ASMI610711M14'
18233,01/05/16,99098,'BAGR091123B8'
18234,11/12/10,289339,'IGL920820JJQ'
18235,05/05/11,153886,'GOVE600401G45'
18236,06/11/15,134469,'MAUD630602U37'
18237,09/10/16,10671,'AGLG820716L12'
18238,12/08/11,151230,'VECJ900910V41'
18239,18/12/16,93035,'SADS070816S24'
18240,29/04/10,249825,'HIVC570507V0'
18241,26/02/12,254775,'CABC920421C55'
18242,03/06/16,54269,'VEFN640502F25'
18243,02/09/15,76777,'GAMM620711M0'
18244,26/11/12,265231,'OLRE580405R47'
18245,09/05/12,460184,'ARVD520821V33'
18246,25/10/12,466857,'GUJF090204G3'
18247,25/02/13,275287,'BAOL710505BAO'
18248,30/11/16,367232,'BAVL550226V30'
18249,30/04/15,151808,'PAME720413PAM'
18250,20/12/12,56503,'DEQA720501Q44'
18251,23/04/16,473764,'HEUH010616H45'
18252,23/12/16,797,'GOVE410917V51'
18253,08/11/14,318967,'AGHA621014A33'
18254,22/06/12,460377,'GIOC630909G3'
18255,12/09/13,157566,'RAMO860519R9'
18256,23/02/12,455305,'PAGC560918G13'
18257,26/02/11,37086,'JOPA811228J48'
18258,01/09/12,162609,'MAVM930606M8'
18259,15/03/17,529877,'MAVD980214M18'
18260,25/04/16,138285,'LUCM750620L23'
18261,05/02/16,164954,'DEEA680926D33'
18262,15/10/10,41771,'LONU731101L20'
18263,12/10/15,369322,'GOMF751117M23'
18264,09/02/15,154582,'CASM690321S41'
18265,02/03/13,245548,'DELF070822D19'
18266,19/02/14,438163,'COMA440805M57'
18267,09/04/11,178263,'FEVI680102V13'
18268,26/08/11,275997,'NOT920725XJE'
18269,09/01/10,35607,'MEUD690219MEU'
18270,29/08/11,221731,'VEAE940730V24'
18271,07/12/10,825,'RUPL820524P10'
18272,29/06/14,103010,'ROMA570920M6'
18273,13/01/17,184549,'MAPM691021P13'
18274,17/07/15,165116,'RUMV700214M49'
18275,08/11/11,464019,'ALOU860429O55'
18276,29/12/10,440572,'PAPD800709P45'
18277,23/09/13,27040,'CERC680620R37'
18278,05/08/13,394497,'DELA590309L41'
18279,29/03/13,469967,'VAAM640825A33'
18280,03/06/13,298288,'ALNE810929A16'
18281,17/11/15,472501,'VEHA860723V20'
18282,28/04/10,286339,'DENA670405D26'
18283,03/03/12,429903,'EDS880729EDS'
18284,14/04/11,459655,'PAMT801018P33'
18285,27/12/15,62925,'OLJO621124J12'
18286,25/04/14,430818,'MACE880525M8'
18287,03/06/12,72385,'PEPM491129P7'
18288,31/12/13,18205,'CAPG790225C16'
18289,02/05/14,277968,'GIDS580528D46'
18290,11/09/15,214069,'FRNS840311N37'
18291,11/04/12,200935,'LOS010724AHT'
18292,29/03/16,306641,'ARPJ621119P9'
18293,20/05/15,54456,'VAFR650907V59'
18294,22/05/13,547921,'CAEM641004E48'
18295,28/11/15,323922,'DEFL990625DEF'
18296,23/05/16,453201,'VIMN730702VIM'
18297,01/07/10,132476,'BARG090721B51'
18298,27/01/14,256763,'LOMS940327L5'
18299,22/03/15,412598,'PEMT060629P57'
18300,08/06/13,418485,'VEMV680514M33'
18301,07/11/16,46318,'GUUA700811G16'
18302,09/01/13,68321,'GAZH630811Z38'
18303,25/03/12,271453,'HERA860422R46'
18304,14/08/12,130174,'ROVN740127ROV'
18305,30/12/14,369287,'RONL750112R39'
18306,09/06/12,354508,'JONM080321J12'
18307,14/04/14,527947,'ZUID860219Z59'
18308,11/04/16,47123,'GUUA671206U24'
18309,18/04/11,305028,'FURE960418F13'
18310,30/11/11,368209,'OCBM900418O21'
18311,04/06/13,533048,'BONG501117N30'
18312,08/08/10,187204,'IBGE680210IBG'
18313,17/05/11,556565,'COCB820317C12'
18314,20/03/10,171483,'DERN451225R4'
18315,31/10/14,49610,'GISA550219S3'
18316,18/07/10,337129,'VEVI461030V29'
18317,09/11/10,101690,'NUVB771012N42'
18318,11/03/12,514759,'NAER650313E56'
18319,21/05/16,30177,'PALJ450516L6'
18320,25/02/15,241140,'GUGG800621G15'
18321,22/03/15,249824,'COAR950406C58'
18322,06/05/15,357599,'ULCL870404U23'
18323,08/04/14,118422,'JULC711102L36'
18324,14/02/10,424698,'MALB710312M58'
18325,05/03/12,139760,'SURG090617SUR'
18326,27/02/14,138039,'BECL880529B30'
18327,30/12/12,356754,'GIMV790820M38'
18328,03/12/11,33317,'HEFJ010516HEF'
18329,04/01/11,106098,'DELM780923L44'
18330,20/05/13,423183,'SOVR620608SOV'
18331,21/02/16,561654,'BEFS570815F59'
18332,31/08/11,90039,'MASI911120M28'
18333,08/06/12,39393,'JIMM780419M54'
18334,15/05/12,366530,'BOMA460501M19'
18335,07/12/11,91100,'SOSR651001S8'
18336,20/05/10,260914,'COP960524GQX'
18337,09/07/12,139948,'BORR701128B12'
18338,04/11/16,129986,'VEVT920912VEV'
15778,14/12/13,425476,'ALBI450614B6'
15779,20/05/14,14367,'CACJ470318C59'
15780,09/11/10,550816,'TOY960207ZIA'
15781,12/11/15,356753,'VESJ981124V1'
15782,01/06/10,76874,'LOAG811122L27'
15783,21/07/15,473755,'PEPS970215PEP'
15784,26/06/15,71451,'ALGA620206G33'
15785,18/12/11,447345,'FLCJ501115C20'
15786,15/01/16,280602,'NAML050522N4'
15787,14/09/10,485828,'NAMV030815N13'
15788,05/12/14,543941,'ARVJ640820A22'
15789,09/10/10,163787,'CROL870523C31'
15790,12/02/10,271668,'MOGM461125G41'
15791,10/08/14,159243,'LECM761119LEC'
15792,19/01/11,37531,'PESA101011P11'
15793,05/07/11,474027,'GABP560512B46'
15794,11/05/13,453864,'NURM621004R43'
15795,27/04/15,517220,'CAAO690414A13'
15796,17/05/11,335186,'ESAE801115E43'
15797,19/07/10,522355,'GOMA610105G44'
15798,02/11/11,251666,'MAMF001005M42'
15799,14/02/15,539944,'CON940325SNO'
15800,15/01/15,14104,'DEDJ620622D32'
15801,27/03/11,477321,'ANCY850408A21'
15802,10/01/16,122040,'GUCI580401C26'
15803,01/06/15,455833,'IZFM620113IZF'
15804,21/01/15,14731,'LEBR770419B59'
15805,10/09/15,330665,'RUVM800723V41'
15806,25/10/11,81288,'LIB650204LIB'
15807,08/08/12,50156,'RUPI920329R36'
15808,18/07/10,437709,'HIMJ800716H24'
15809,27/01/12,373780,'RODR860910D12'
15810,14/10/14,213243,'DIAR730609D49'
15811,15/04/17,288810,'MOFA421219F43'
15812,22/02/12,161468,'LIMA880604L52'
15813,01/08/16,198421,'GUCJ640228C19'
15814,13/04/12,428914,'UBFT611130U23'
15815,22/02/11,88397,'SASA570621S50'
15816,18/02/11,381839,'EST011013MSW'
15817,02/12/11,282322,'MAMI650518M1'
15818,19/02/10,249879,'VILF090902V14'
15819,07/05/10,102142,'FRME670530F47'
15820,28/09/11,138237,'IGMM741023M8'
15821,10/08/11,137582,'MANR690616N30'
15822,07/04/15,303374,'GOCR410819C56'
15823,08/07/16,336923,'MOMC421229M14'
15824,22/10/13,552873,'COMM700907M18'
15825,13/10/15,194081,'VABP850610V57'
15826,08/02/13,139010,'MAML800812M7'
15827,26/08/14,277642,'OLMD681118O21'
15828,28/09/15,516725,'MALI060402M5'
15829,24/04/11,507406,'SEC050406CGQ'
15830,17/01/12,449145,'PERA681220R22'
15831,11/02/17,467717,'GOVI780807V29'
15832,07/05/15,183324,'DICB920829DIC'
15833,31/05/12,265910,'CASA541124S30'
15834,04/02/15,32350,'MAPA910322MAP'
15835,22/02/10,125093,'REFM810125F24'
15836,31/03/16,312514,'COVI700312C4'
15837,27/02/17,427100,'BAMJ631107B55'
15838,28/06/11,484465,'RAPM900308R0'
15839,14/07/16,296835,'POMM450808M17'
15840,13/12/13,430170,'URVA530911V39'
15841,08/05/15,355706,'DEHM430609H23'
15842,01/12/14,48003,'IBSJ740422S23'
15843,19/10/16,474135,'IGAY621125A54'
15844,17/05/11,551048,'MORR010219MOR'
15845,07/01/14,204591,'SADP610222SAD'
15846,23/01/14,325457,'PABR020408P2'
15847,19/09/12,540323,'MEAA711121MEA'
15848,28/01/14,96813,'ARMI081104A2'
15849,07/03/16,106359,'OLBA750906O18'
15850,28/06/16,452988,'SAMA700705SAM'
15851,16/02/15,415175,'GOMA780602G43'
15852,14/10/15,351292,'DOSA810708D15'
15853,16/07/16,88713,'GAMM670719M40'
15854,22/01/10,11381,'MACM960513M12'
15855,04/03/15,148831,'NARR600216R39'
15856,26/04/13,520873,'RAPA840624P35'
15857,29/09/13,244778,'ESCJ850227ESC'
15858,06/01/15,190622,'ARBV840710A1'
15859,26/12/11,174394,'VEUR501203U25'
15860,21/01/11,109907,'DERS750407D33'
15861,04/02/17,293761,'VAGI050522V0'
15862,22/02/13,462709,'AGNF480929N10'
15863,10/08/15,101035,'COPP880220P39'
15864,11/05/10,23100,'FUGL700427G32'
15865,17/06/15,327475,'GAHI731118H34'
15866,25/04/10,145190,'PRO841211CFB'
15867,26/08/10,449819,'FRCD600609C12'
15868,11/11/10,166390,'FEDJ050824F40'
15869,17/04/14,179119,'CAPB711116P40'
15870,13/04/15,530595,'SAFN590202F50'
15871,04/11/13,462890,'GUAS810717G13'
15872,22/12/16,176226,'BRLR401225L16'
15873,01/03/16,169710,'COBD860826C38'
15874,03/05/13,414985,'MEJI890416J20'
15875,16/01/13,168670,'MANK850826N10'
15876,20/03/13,341955,'ESFE041026E32'
15877,21/11/11,423722,'SOMA920808S49'
15878,06/07/10,469324,'JOCG640522C25'
15879,31/12/16,180628,'MOUA811205M51'
15880,03/02/15,256004,'GURU690515R44'
15881,31/07/14,261833,'LOMD450306M15'
15882,06/02/14,85339,'COYE510111Y12'
15883,23/09/16,145140,'MALJ990217M50'
15884,15/05/15,339513,'SOSI700620SOS'
15885,16/10/14,104092,'LECL661030L54'
15886,01/11/14,160742,'ORAD840102A20'
15887,09/11/16,258078,'GUPN620329P14'
15888,12/01/17,698,'NEAJ661002N56'
15889,03/10/16,170599,'MOCY880602M46'
15890,16/12/11,34596,'UBRR760426R10'
15891,20/09/13,58665,'ALLI810924A14'
15892,30/12/14,133538,'ARBL780203B54'
15893,28/11/10,255513,'MOOL711029M32'
15894,03/09/10,76778,'PALG600527L57'
15895,21/10/12,78098,'SUMC430714M10'
15896,16/06/14,544644,'OROC730221O15'
15897,11/10/10,532088,'ORRR650712ORR'
15898,01/07/10,100935,'CIG630126CIG'
15899,05/03/12,402588,'SASA920213S24'
15900,10/01/17,429007,'PACC000604P11'
15901,23/04/14,289225,'GULS700325G42'
15902,17/07/16,549730,'MOAN981102M43'
15903,27/06/13,77742,'VEVN090625VEV'
15904,23/05/14,18334,'SAEG600315E49'
15905,14/08/16,219763,'COCD951208C43'
15906,26/07/11,150766,'DEED470612E36'
15907,26/04/10,275119,'FEAA810706A25'
15908,14/01/10,519836,'MAPI560419P3'
15909,29/06/12,242281,'DESL770101D33'
15910,18/07/15,74142,'NAGR851009N45'
15911,19/02/10,87722,'RUMA720724R22'
15912,14/05/13,391576,'GOMD950515G20'
15913,04/12/14,13529,'LUIN830315LUI'
15914,18/06/14,21328,'LERJ860505L53'
15915,07/10/11,77323,'RAOE810909O53'
15916,03/12/12,234270,'LOOL840823L2'
15917,17/04/13,214219,'VARA720827R34'
15918,02/09/13,440876,'ESGD780315G45'
15919,21/12/14,43291,'MOEB810923E42'
15920,27/10/11,162355,'PRPM680608P12'
15921,15/03/10,253340,'LEAD560216A38'
15922,30/06/14,60544,'DUFR750514F34'
15923,06/08/15,396616,'ZULP510614L48'
15924,07/08/12,241231,'GANN720128N34'
15925,30/12/10,84719,'CADI621010C15'
15926,04/11/15,173865,'MOMC650119M21'
15927,09/02/15,64194,'GIHN090410G31'
15928,14/03/14,348537,'SASE650821S13'
15929,27/04/11,220242,'ORGJ671107ORG'
15930,12/03/10,476115,'ALVN810513V38'
15931,12/02/10,55508,'GUVJ411111V59'
15932,28/08/14,126302,'FUBI790723F18'
15933,30/05/13,194217,'BOCA990924B46'
15934,29/04/10,527494,'GOGJ681013G45'
15935,18/11/14,29657,'ALFP630129A5'
15936,23/03/15,304287,'FEHE650801H17'
15937,24/11/16,285450,'MADE801221M13'
15938,13/05/14,499472,'PASD850306S23'
15939,14/11/10,333005,'RUMA700614M13'
15940,06/07/11,196613,'SAMG510603M14'
15941,14/10/15,475482,'MOHM460226H56'
15942,12/05/13,170462,'MOMS540227M55'
15943,10/07/10,362149,'MAAE631028MAA'
15944,09/01/17,346697,'ROFJ680820F10'
15945,13/02/14,354860,'HIMH700327M11'
15946,11/11/14,478397,'MAAL810827M56'
15947,01/07/16,517539,'SUDH861009D18'
15948,17/11/12,244210,'HEGE920609H29'
15949,31/07/13,312650,'COBA400208B35'
15950,03/07/13,479816,'GADP680711D27'
15951,24/09/16,351414,'CACA090620CAC'
15952,02/01/11,14021,'LODJ660905L20'
15953,13/02/11,116576,'LOCB681007C31'
15954,08/01/12,224271,'VACM860208V12'
15955,24/02/11,28547,'MAMM590724M40'
15956,15/09/14,222336,'CACJ680707C12'
15957,01/10/10,417795,'ABNS830531A46'
15958,01/04/14,103223,'VIDS740205D52'
15959,25/07/14,199411,'ROPL770419R38'
15960,31/03/10,494008,'LOGJ450204G14'
15961,15/11/12,242526,'GUDI700702G58'
15962,20/11/14,79088,'HIFM970927H3'
15963,30/01/11,530797,'IBJI500605J45'
15964,12/10/11,299731,'ALFR780629ALF'
15965,23/12/11,66846,'VEAA640113A21'
15966,26/11/16,274155,'DEOC660725D8'
15967,16/12/10,78683,'FEHM971113F44'
15968,05/10/14,66386,'PAFG721125F38'
15969,06/02/15,396143,'GUAC490104A11'
15970,16/01/12,244794,'CAAA460623A56'
15971,22/12/12,121657,'ASDM611110A10'
15972,04/08/13,91642,'VADA030720V27'
15973,22/03/12,116761,'PRVE020722P22'
15974,16/10/11,385795,'COSR000426C42'
18339,08/07/10,185279,'MAHA771120MAH'
18340,24/05/11,180870,'ALCM650527A58'
18341,26/02/17,383518,'SEM030819WGV'
18342,27/02/17,275910,'MICG540718C54'
18343,24/07/16,372605,'JOME571122M17'
18344,18/10/15,191572,'RUCO000217R28'
18345,11/08/10,256709,'MOCE700727M41'
18346,11/08/12,540259,'SAAE771121S49'
18347,30/10/11,471566,'ABHJ471117H12'
18348,18/05/11,265531,'POHG630922P11'
18349,04/12/13,344281,'SACA490714C36'
18350,27/12/13,231709,'CORA470203R29'
18351,23/03/10,331627,'ROGO810309G25'
18352,25/05/14,255413,'GORR020713G26'
18353,25/02/14,392940,'SIHN990811S51'
18354,16/12/10,433221,'MUHY700924M54'
18355,26/09/13,481848,'VAVO650804V1'
